0002       eletrotecnica   000000001-98 92/13/1969m                  catocato1800@cato.catoQ
0009       eletrotecnica   000000001-98 92/13/1969m                  catocato1800@cato.catoR
0066       eletrotecnica   000000085-98 92/13/1969m                  catocato1800@cato.catoS
0022       eletrotecnica   000000785-98 92/13/1969m                  catocato1800@cato.catoT
0042       eletrotecnica   000000785-98 92/13/1969m                  catocato1800@cato.catoU
0024       eletrotecnica   000000785-98 92/13/1969m                  catocato1800@cato.catoV
0069       eletrotecnica   000002785-98 92/13/1969m                  catocato1800@cato.catoW
0171       eletrotecnica   000002888-98 92/13/1969m                  catocato1800@cato.catoX
0040       eletrotecnica   000003785-98 92/13/1969m                  catocato1800@cato.catoY
2222       eletrotecnica   000003785-98 92/13/1969m                  catocato1800@cato.catoZ
